State Name,County Name,County FIPS,CropDmg,CropDmg(ADJ 2019),CropDmgPerCapita(ADJ 2019),PropertyDmg,PropertyDmg(ADJ 2019),PropertyDmgPerCapita(ADJ 2019),Injuries,InjuriesPerCapita,Fatalities,FatalitiesPerCapita,Duration_Days,Fatalities_Duration,Injuries_Duration,Property_Damage_Duration,Crop_Damage_Duration,Records
FLORIDA,Alachua,'12001',0.00000,0.00000,0.00000,10000.00000,10389.74000,0.03892,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
FLORIDA,Bay,'12005',150000000.00000,154807202.55000,835.49954,1200146000.00000,1238609303.74000,6684.82257,1.00000,0.00001,24.00000,0.00013,2.00000,1.00000,1.00000,2.00000,1.00000,26
FLORIDA,Bradford,'12007',0.00000,0.00000,0.00000,4000000.00000,4155897.43000,153.70580,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,1
FLORIDA,Brevard,'12009',1.00000,1.00000,0.00000,30100003.00000,31273131.14000,53.08070,5.00000,0.00001,4.00000,0.00001,4.00000,1.00000,1.00000,2.00000,4.00000,11
FLORIDA,Broward,'12011',0.00000,0.00000,0.00000,56100.00000,57931.90000,0.02973,0.00000,0.00000,2.00000,0.00000,3.00000,2.00000,0.00000,3.00000,0.00000,8
FLORIDA,Calhoun,'12013',250000000.00000,258012004.25000,17687.80450,500050000.00000,516075957.23000,35379.19588,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,1.00000,2
FLORIDA,Charlotte,'12015',15900000.00000,16519692.27000,90.75109,38150000.00000,39636871.70000,217.74553,0.00000,0.00000,1.00000,0.00001,3.00000,1.00000,0.00000,3.00000,2.00000,5
FLORIDA,Citrus,'12017',0.00000,0.00000,0.00000,5915000.00000,6145429.42000,42.19236,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,3
FLORIDA,Collier,'12021',0.00000,0.00000,0.00000,222540000.00000,231213353.31000,620.07443,6.00000,0.00002,0.00000,0.00000,3.00000,0.00000,1.00000,3.00000,0.00000,4
FLORIDA,DeSoto,'12027',71000000.00000,73767179.32000,2001.17138,1000000.00000,1038974.36000,28.18551,0.00000,0.00000,0.00000,0.00000,19.00000,0.00000,0.00000,19.00000,2.00000,2
FLORIDA,Dixie,'12029',0.00000,0.00000,0.00000,7675000.00000,7970512.48000,477.99818,0.00000,0.00000,0.00000,0.00000,3.00000,0.00000,0.00000,3.00000,0.00000,5
FLORIDA,Duval,'12031',0.00000,0.00000,0.00000,10000200.00000,10000207.79000,10.44131,0.00000,0.00000,1.00000,0.00000,1.00000,1.00000,0.00000,1.00000,0.00000,3
FLORIDA,Escambia,'12033',0.00000,0.00000,0.00000,110000.00000,114287.18000,0.36454,5.00000,0.00002,3.00000,0.00001,2.00000,2.00000,1.00000,1.00000,0.00000,5
FLORIDA,Flagler,'12035',0.00000,0.00000,0.00000,500.00000,516.02000,0.00460,1.00000,0.00001,0.00000,0.00000,1.00000,0.00000,1.00000,1.00000,0.00000,2
FLORIDA,Franklin,'12037',75000000.00000,77403601.28000,6595.39888,300925000.00000,310575456.38000,26463.54754,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,1.00000,6
FLORIDA,Gadsden,'12039',150000000.00000,154807202.55000,3373.14687,300050000.00000,309666353.82000,6747.42132,0.00000,0.00000,1.00000,0.00002,2.00000,1.00000,0.00000,2.00000,1.00000,2
FLORIDA,Gilchrist,'12041',0.00000,0.00000,0.00000,10.00000,10.39000,0.00059,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
FLORIDA,Glades,'12043',0.00000,0.00000,0.00000,50000.00000,51948.72000,3.77699,0.00000,0.00000,0.00000,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,1
FLORIDA,Gulf,'12045',225000000.00000,232210803.83000,14365.92451,300225000.00000,309848174.33000,19169.03193,0.00000,0.00000,2.00000,0.00012,2.00000,1.00000,0.00000,2.00000,1.00000,9
FLORIDA,Hardee,'12049',57500000.00000,59741025.50000,2179.45443,3280000.00000,3407835.88000,124.32366,0.00000,0.00000,0.00000,0.00000,13.00000,0.00000,0.00000,13.00000,2.00000,2
FLORIDA,Hendry,'12051',0.00000,0.00000,0.00000,20000.00000,20779.49000,0.51502,0.00000,0.00000,0.00000,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,1
FLORIDA,Hernando,'12053',600000.00000,623384.61000,3.34160,6100000.00000,6337743.57000,33.97288,0.00000,0.00000,0.00000,0.00000,20.00000,0.00000,0.00000,20.00000,2.00000,3
FLORIDA,Highlands,'12055',70000000.00000,72728204.96000,706.90206,360000000.00000,374030768.38000,3635.49632,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,2.00000,1
FLORIDA,Hillsborough,'12057',28500000.00000,29610769.16000,21.02193,20045000.00000,20826102.45000,14.78503,0.00000,0.00000,0.00000,0.00000,8.00000,0.00000,0.00000,8.00000,2.00000,7
FLORIDA,Holmes,'12059',0.00000,0.00000,0.00000,323000.00000,333767.08000,17.12322,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,5
FLORIDA,Indian River,'12061',0.00000,0.00000,0.00000,1550000.00000,1610410.25000,10.43127,0.00000,0.00000,2.00000,0.00001,2.00000,1.00000,0.00000,2.00000,0.00000,4
FLORIDA,Jackson,'12063',150000000.00000,154807202.55000,3204.78631,500250000.00000,516283752.10000,10687.99540,0.00000,0.00000,1.00000,0.00002,2.00000,1.00000,0.00000,2.00000,1.00000,2
FLORIDA,Jefferson,'12065',0.00000,0.00000,0.00000,1100000.00000,1142179.16000,80.68008,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,4
FLORIDA,Lafayette,'12067',0.00000,0.00000,0.00000,3200000.00000,3324025.31000,392.93624,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,3
FLORIDA,Lake,'12069',0.00000,0.00000,0.00000,12166666.67000,12640854.68000,36.53247,0.00000,0.00000,0.33000,0.00000,2.00000,2.00000,0.00000,2.00000,0.00000,1
FLORIDA,Lee,'12071',9600000.00000,9974153.82000,13.49274,826680000.00000,858899321.13000,1161.89318,0.00000,0.00000,2.00000,0.00000,4.00000,2.00000,0.00000,4.00000,2.00000,6
FLORIDA,Leon,'12073',50000000.00000,51602400.85000,176.41726,107500000.00000,110997109.37000,379.67751,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,1.00000,2
FLORIDA,Levy,'12075',0.00000,0.00000,0.00000,340000.00000,352697.18000,8.71904,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,3
FLORIDA,Liberty,'12077',150000000.00000,154807202.55000,18305.21492,450050000.00000,464473556.38000,54921.94768,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,1.00000,2
FLORIDA,Madison,'12079',0.00000,0.00000,0.00000,2100000.00000,2181153.51000,118.20196,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,2
FLORIDA,Manatee,'12081',23500000.00000,24415897.38000,63.32400,19640000.00000,20405456.37000,52.92269,0.00000,0.00000,2.00000,0.00001,3.00000,3.00000,0.00000,3.00000,2.00000,3
FLORIDA,Marion,'12083',0.00000,0.00000,0.00000,20500.00000,21295.51000,0.06007,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,2
FLORIDA,Martin,'12085',0.00000,0.00000,0.00000,4300000.00000,4467589.73000,27.93588,0.00000,0.00000,2.00000,0.00001,2.00000,1.00000,0.00000,2.00000,0.00000,3
FLORIDA,Miami-Dade,'12086',255245000.00000,265193009.65000,96.37088,1050000.00000,1089364.10000,0.39606,3.00000,0.00000,12.00000,0.00000,2.00000,2.00000,1.00000,1.00000,2.00000,12
FLORIDA,Monroe,'12087',0.00000,0.00000,0.00000,500.00000,516.02000,0.00688,40.00000,0.00052,9.00000,0.00012,2.00000,2.00000,2.00000,1.00000,0.00000,5
FLORIDA,Nassau,'12089',0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00001,1.00000,0.00001,1.00000,1.00000,1.00000,0.00000,0.00000,1
FLORIDA,Okaloosa,'12091',0.00000,0.00000,0.00000,25000.00000,25974.36000,0.12797,8.00000,0.00004,4.00000,0.00002,1.00000,1.00000,1.00000,1.00000,0.00000,7
FLORIDA,Okeechobee,'12093',0.00000,0.00000,0.00000,157000000.00000,163118973.99000,3920.65795,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,1
