State Name,County Name,County FIPS,CropDmg,CropDmg(ADJ 2019),CropDmgPerCapita(ADJ 2019),PropertyDmg,PropertyDmg(ADJ 2019),PropertyDmgPerCapita(ADJ 2019),Injuries,InjuriesPerCapita,Fatalities,FatalitiesPerCapita,Duration_Days,Fatalities_Duration,Injuries_Duration,Property_Damage_Duration,Crop_Damage_Duration,Records
FLORIDA,Bay,'12005',0.00000,0.00000,0.00000,700001000.00000,722434643.96000,3899.00341,0.00000,0.00000,6.00000,0.00003,1.00000,1.00000,0.00000,1.00000,0.00000,2
FLORIDA,Broward,'12011',0.00000,0.00000,0.00000,45000.00000,46442.16000,0.02380,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,3
FLORIDA,Citrus,'12017',0.00000,0.00000,0.00000,15000.00000,15480.72000,0.10465,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
FLORIDA,Flagler,'12035',0.00000,0.00000,0.00000,500.00000,516.02000,0.00460,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
FLORIDA,Franklin,'12037',0.00000,0.00000,0.00000,150000000.00000,154807202.55000,13190.79776,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
FLORIDA,Gulf,'12045',0.00000,0.00000,0.00000,100000000.00000,103204801.70000,6384.85534,0.00000,0.00000,1.00000,0.00006,1.00000,1.00000,0.00000,1.00000,0.00000,1
FLORIDA,Hillsborough,'12057',0.00000,0.00000,0.00000,20000.00000,20640.96000,0.01437,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
FLORIDA,Holmes,'12059',0.00000,0.00000,0.00000,13000.00000,13416.62000,0.68884,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,2
FLORIDA,Levy,'12075',0.00000,0.00000,0.00000,80000.00000,82563.84000,2.02511,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
FLORIDA,Marion,'12083',0.00000,0.00000,0.00000,500.00000,516.02000,0.00143,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,1
FLORIDA,Orange,'12095',0.00000,0.00000,0.00000,1000.00000,1032.05000,0.00075,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
FLORIDA,Palm Beach,'12099',0.00000,0.00000,0.00000,1000.00000,1032.05000,0.00069,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
FLORIDA,Santa Rosa,'12113',0.00000,0.00000,0.00000,10000.00000,10320.48000,0.05754,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
FLORIDA,Wakulla,'12129',0.00000,0.00000,0.00000,100000000.00000,103204801.70000,3179.34758,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1

